brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
DELL,Vostro,Intel,Core i5,11th,8,DDR4,Windows,64,14,66490,512,4.7
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,53400,512,4.4
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,55090,512,4.3
acer,Predator,Intel,Core i7,10th,16,DDR4,Windows,64,15.6,159990,2048,0
ASUS,Zenbook,AMD,Ryzen 5,Missing,16,LPDDR4X,Windows,64,14,91990,512,4.1
HP,Pavilion,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,90190,512,3
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,51649,512,4.1
ASUS,Vivobook,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,56990,512,4.1
MSI,GS66,Intel,Core i7,Missing,,,Missing,32,Missing,207290,0,4.4
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,14,74500,512,3.8
DELL,XPS,Intel,Core i5,11th,16,LPDDR4X,Windows,64,13.3,114990,512,0
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,41990,1024,4.3
DELL,Vostro,Intel,Core i5,11th,8,DDR4,Windows,64,14,61990,512,0
ASUS,ROG,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,82990,1024,0
acer,Aspire,AMD,Dual Core,Missing,4,DDR4,Windows,64,14,29990,256,0
APPLE,MacBook,Intel,Core i5,10th,16,LPDDR4X,Mac,64,13,159990,512,4.4
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,46990,1024,0
APPLE,MacBook,Intel,Core i5,8th,8,DDR3,Mac,64,13.3,172090,512,4
HP,Pavilion,AMD,Ryzen 5,Missing,16,DDR4,Windows,64,13.3,84208,512,4.1
Lenovo,Core,Intel,Core i7,11th,16,DDR4,Windows,32,14,88488,512,4.5
MSI,Modern,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,15.6,64990,512,0
MSI,Prestige,Intel,Core i7,10th,16,DDR4,Windows,64,15.6,109990,512,4.4
MSI,Sword,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,74990,512,4
Lenovo,Ideapad,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,60990,512,4.2
ASUS,Core,Intel,Core i7,10th,32,DDR4,Windows,64,15.6,224990,1024,0
DELL,XPS,Intel,Core i5,Missing,,,Missing,32,Missing,139990,0,0
HP,OMEN,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,15.6,159990,1024,4.5
MSI,Modern,Intel,Core i5,10th,8,DDR4,Windows,64,14,56490,512,0
ASUS,Core,Intel,Core i5,10th,8,DDR4,Windows,32,15.6,58990,1280,4.3
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,52632,1024,0
ASUS,Vivobook,AMD,Ryzen 9,Missing,16,DDR4,Windows,64,14,104990,1024,4.4
ASUS,ROG,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,76990,1024,4.7
ASUS,EeeBook,Intel,Pentium Silver,Missing,8,DDR4,Windows,64,14,31990,256,0
MSI,Sword,Intel,Core i7,11th,8,DDR4,Windows,64,15.6,86990,512,4.8
Lenovo,Thinkpad,Intel,Core i5,10th,16,DDR4,Windows,64,13.3,147000,512,4.5
ASUS,TUF,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,87990,1024,5
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,47990,512,0
acer,Swift,Intel,Core i5,7th,8,DDR3,Windows,64,13.3,86867,256,4.5
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,39990,1024,0
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,Windows,64,15.6,40200,256,3.8
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,14,55990,512,0
HP,Pavilion,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,77990,512,0
MSI,Prestige,Intel,Core i7,11th,16,LPDDR4X,Windows,64,14,89990,512,0
MSI,Stealth,Intel,Core i7,12th,32,DDR5,Windows,64,15.6,279990,1024,4.3
HP,Envy,Intel,Core i5,10th,16,DDR4,Windows,64,15.6,106490,512,4.4
Lenovo,Ideapad,Intel,Core i5,11th,16,DDR4,Windows,32,14,70990,512,4.1
ASUS,ROG,Intel,Core i9,12th,32,DDR5,Windows,64,15.6,299990,1024,3.9
ASUS,ROG,AMD,Ryzen 9,Missing,16,LPDDR4X,Windows,64,13.4,114990,1024,4.2
HP,15,Intel,Core i7,8th,8,DDR4,Windows,64,15.6,116941,1152,0
MICROSOFT,Surface,Intel,Core i5,10th,8,LPDDR4X,Windows,64,13,100190,128,0
ASUS,Vivobook,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,Missing,26990,0,0
Lenovo,Thinkpad,Intel,Core i5,10th,16,DDR4,Windows,64,14,155411,1024,4.7
HP,Spectre,Intel,Core i7,10th,16,LPDDR3,Windows,64,13.3,239759,512,4.6
Lenovo,Thinkpad,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,64990,512,0
acer,Nitro,AMD,Ryzen 5,Missing,,,Missing,32,Missing,72990,0,4.7
Lenovo,Core,Intel,Core i3,10th,8,DDR4,Windows,32,14,40990,256,0
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,Windows,64,14.96,42490,256,4.4
